rowNum,Duration(Sec),Start date,StartTime,StartLat,StartLon,EndLat,EndLon,Walk Time,Transit Time,Waiting Time,Num Transfers,AltBikeTime
6000,1654,05/22/2012,6:31:00 PM,38.9154,-77.0446,38.922925,-77.042581,230,234,242,0,197
6100,283,05/22/2012,7:02:00 PM,38.91554,-77.03818,38.9155,-77.0222,298,474,242,0,283
6200,365,05/22/2012,7:47:00 PM,38.9236,-77.0501,38.934267,-77.057979,232,234,242,0,298
6300,644,05/22/2012,8:24:00 PM,38.90985,-77.034438,38.926088,-77.036536,157,480,242,0,398
6400,748,05/22/2012,9:33:00 PM,38.897222,-77.019347,38.899983,-76.991383,413,546,242,0,561
6500,537,05/23/2012,5:09:00 AM,38.90304,-77.019027,38.9155,-77.0222,312,300,614,1,374
6600,236,05/23/2012,7:18:00 AM,38.88412,-77.017445,38.8767,-77.0178,339,90,242,0,176
6700,1130,05/23/2012,7:55:00 AM,38.9154,-77.0446,38.9057,-77.0056,346,1128,242,0,825
6800,836,05/23/2012,8:17:00 AM,38.896999,-77.004962,38.90276,-77.03863,155,1188,241,0,805
6900,104,05/23/2012,8:34:00 AM,38.893648,-77.076701,38.8946,-77.072305,348,0,0,-1,96
7000,545,05/23/2012,8:51:00 AM,38.929464,-77.027822,38.9236,-77.0501,683,576,242,0,495
7100,468,05/23/2012,9:11:00 AM,38.9308,-77.0315,38.922925,-77.042581,379,480,242,0,376
7200,958,05/23/2012,9:43:00 AM,38.9249,-77.0222,38.900283,-77.029822,688,546,242,0,663
7300,6631,05/23/2012,11:19:00 AM,38.898069,-77.031823,38.8923,-77.0436,415,708,242,0,365
7400,1320,05/23/2012,12:53:00 PM,38.894919,-77.046587,38.8963,-77.045,236,0,0,-1,72
7500,777,05/23/2012,1:57:00 PM,38.90985,-77.034438,38.895344,-77.016106,460,474,762,1,566
7600,2967,05/23/2012,3:16:00 PM,38.8923,-77.0436,38.8923,-77.0436,1,0,0,-1,1
7700,772,05/23/2012,4:18:00 PM,38.897446,-77.009888,38.915417,-77.012289,292,720,242,0,497
7800,255,05/23/2012,4:59:00 PM,38.8997,-77.023086,38.897446,-77.009888,198,450,242,0,257
7900,389,05/23/2012,5:24:00 PM,38.896999,-77.004962,38.899983,-76.991383,615,300,242,0,306
8000,922,05/23/2012,5:44:00 PM,38.8763,-77.0037,38.895344,-77.016106,145,474,518,0,620
8100,211,05/23/2012,6:04:00 PM,38.878925,-77.024016,38.8767,-77.0178,527,0,0,-1,153
8200,490,05/23/2012,6:24:00 PM,38.912682,-77.031681,38.899641,-77.032005,220,510,242,0,315
8300,433,05/23/2012,6:44:00 PM,38.905126,-77.056887,38.9101,-77.0444,328,414,243,0,338
